epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,837.654,0.49861,0.4298,1.0345,0.98989,0.98116,0.99115,0.92352,0.4093,0.29013,0.94592,0.000660045,0.000660045,0.000660045
43,856.484,0.49553,0.43316,1.01642,0.99327,0.99798,0.99445,0.93219,0.37082,0.27309,0.91058,0.000649046,0.000649046,0.000649046
44,875.475,0.43362,0.37389,0.97382,0.99694,0.99769,0.99405,0.92975,0.36837,0.26875,0.90131,0.000638047,0.000638047,0.000638047
45,894.73,0.47543,0.4027,1.01276,0.97993,0.98835,0.99328,0.93174,0.36278,0.27287,0.91187,0.000627048,0.000627048,0.000627048
46,913.909,0.45064,0.39442,0.99198,0.98422,0.99335,0.99387,0.93133,0.34955,0.27437,0.89541,0.000616049,0.000616049,0.000616049
47,933.881,0.4623,0.39607,1.01083,0.99642,0.99624,0.9932,0.93521,0.35257,0.26714,0.9056,0.000605051,0.000605051,0.000605051
48,954.768,0.42754,0.37202,0.98724,0.99536,0.9968,0.99357,0.94858,0.32958,0.24579,0.88608,0.000594052,0.000594052,0.000594052
49,974.644,0.45035,0.37913,1.0033,0.99701,0.99047,0.99331,0.94577,0.33449,0.25056,0.8985,0.000583053,0.000583053,0.000583053
50,996.024,0.4368,0.37542,1.00152,0.99591,0.99426,0.99236,0.93866,0.34829,0.25025,0.90687,0.000572054,0.000572054,0.000572054
51,1017.64,0.42075,0.36782,0.97457,0.99806,0.98625,0.992,0.93238,0.35294,0.25787,0.91358,0.000561055,0.000561055,0.000561055
52,1036.91,0.4297,0.3739,0.98847,0.99172,0.98743,0.99304,0.94596,0.33519,0.26076,0.89531,0.000550056,0.000550056,0.000550056
53,1056.17,0.41931,0.34636,0.98625,0.9982,0.98998,0.9939,0.94686,0.33939,0.23824,0.88861,0.000539057,0.000539057,0.000539057
54,1075.68,0.43089,0.36278,0.99083,0.99551,0.99489,0.99437,0.94519,0.3242,0.23363,0.88391,0.000528058,0.000528058,0.000528058
55,1095.61,0.41586,0.35584,0.97608,0.99429,0.98725,0.99357,0.94231,0.33221,0.23682,0.89957,0.000517059,0.000517059,0.000517059
56,1114.95,0.42001,0.35555,0.98317,0.99473,0.98639,0.99216,0.93766,0.34661,0.2471,0.90978,0.00050606,0.00050606,0.00050606
57,1133.81,0.41358,0.34182,0.98231,0.99463,0.99394,0.99473,0.9465,0.32729,0.2215,0.88412,0.000495062,0.000495062,0.000495062
58,1153.01,0.40357,0.34976,0.97786,0.99134,0.99169,0.99331,0.94232,0.35266,0.23287,0.9234,0.000484063,0.000484063,0.000484063
